1479998284.000000, 1479998284.000000, 1479998284.000000.1
659,-4.0,-95.0,-4.0
660,-17.0,-96.0,1.0
661,-44.0,-71.0,-18.0
662,-31.0,-66.0,-30.0
663,65.0,-89.0,-30.0
664,112.0,-115.0,12.0
665,30.0,-128.0,1.0
666,-18.0,-86.0,-14.0
667,-12.0,-63.0,-17.0
668,-47.0,-11.0,-28.0
669,-64.0,5.0,-26.0
670,-57.0,-8.0,-28.0
671,-51.0,-14.0,-25.0
672,-32.0,-30.0,-26.0
673,-14.0,-56.0,-18.0
674,-10.0,-73.0,-11.0
675,5.0,-105.0,10.0
676,22.0,-121.0,16.0
677,87.0,-128.0,29.0
678,127.0,-113.0,45.0
679,120.0,-102.0,51.0
680,-121.0,-86.0,-35.0
681,30.0,-89.0,6.0
682,8.0,-46.0,-6.0
683,14.0,-70.0,-13.0
684,-13.0,-67.0,-8.0
685,-10.0,-61.0,-10.0
686,-4.0,-66.0,-12.0
687,-5.0,-61.0,-13.0
688,-12.0,-59.0,-13.0
689,-4.0,-62.0,-11.0
690,-2.0,-63.0,-10.0
691,-6.0,-62.0,-10.0
692,1.0,-66.0,-6.0
693,0.0,-67.0,-8.0
694,-5.0,-69.0,-14.0
695,-1.0,-75.0,-19.0
696,1.0,-82.0,-23.0
697,-29.0,-120.0,-7.0
698,-48.0,-128.0,-25.0
699,-94.0,-128.0,-56.0
700,-23.0,-102.0,-35.0
701,48.0,-79.0,-9.0
702,3.0,-52.0,-1.0
703,4.0,-25.0,3.0
704,5.0,-12.0,-8.0
705,14.0,-10.0,-5.0
706,6.0,-15.0,4.0
707,23.0,-20.0,3.0
708,30.0,-21.0,3.0
709,50.0,-31.0,15.0
710,62.0,-55.0,33.0
711,60.0,-67.0,33.0
712,54.0,-73.0,40.0
713,127.0,-128.0,-22.0
714,-57.0,-47.0,-47.0
715,22.0,-64.0,-1.0
716,2.0,-70.0,-8.0
717,20.0,-65.0,0.0
718,5.0,-65.0,0.0
719,2.0,-64.0,-6.0
720,3.0,-65.0,-8.0
721,-1.0,-62.0,-12.0
722,-1.0,-63.0,-12.0
723,-2.0,-61.0,-15.0
724,-5.0,-60.0,-17.0
725,-9.0,-61.0,-17.0
726,-9.0,-59.0,-20.0
727,-4.0,-59.0,-14.0
728,-10.0,-64.0,-11.0
729,-3.0,-67.0,-7.0
730,3.0,-71.0,-7.0
731,-3.0,-85.0,-14.0
732,-18.0,-98.0,-6.0
733,-35.0,-104.0,-9.0
734,-45.0,-98.0,-32.0
735,-20.0,-85.0,-35.0
736,37.0,-125.0,-16.0
737,86.0,-128.0,8.0
738,34.0,-116.0,0.0
739,2.0,-93.0,-20.0
740,5.0,-41.0,3.0
741,-2.0,-14.0,-2.0
742,-32.0,-4.0,-10.0
743,-27.0,-1.0,-9.0
744,-29.0,2.0,-14.0
745,-15.0,-6.0,-14.0
746,-8.0,-11.0,-13.0
747,24.0,-23.0,-12.0
748,46.0,-44.0,3.0
749,54.0,-58.0,9.0
750,68.0,-68.0,27.0
751,78.0,-67.0,20.0
752,42.0,-79.0,40.0
753,-46.0,-102.0,24.0
754,50.0,-59.0,4.0
